[ep  200] soldier      static_B_2020.02.27_18.39.27.csv@3618  reward=QoE=    6.38 eps=0.696 loss=1.7331
[ep  201] longdress    driving_B_2020.02.14_12.58.17.csv@64    reward=QoE= -215.33 eps=0.695 loss=2.2058
[ep  202] loot         driving_B_2020.02.14_12.58.17.csv@4     reward=QoE=    5.01 eps=0.693 loss=2.0482
[ep  203] redandblack  driving_B_2020.02.27_17.30.15.csv@330   reward=QoE= -160.27 eps=0.692 loss=2.0589
[ep  204] soldier      static_B_2019.12.16_13.40.04.csv@660   reward=QoE=   52.40 eps=0.690 loss=1.8771
[ep  205] longdress    driving_B_2020.01.16_07.26.43.csv@631   reward=QoE=  -56.58 eps=0.689 loss=1.8626
[ep  206] loot         static_B_2020.02.27_18.39.27.csv@2658  reward=QoE=   34.99 eps=0.687 loss=2.1008
[ep  207] redandblack  driving_B_2020.02.13_15.02.01.csv@141   reward=QoE=   58.01 eps=0.686 loss=2.1145
[ep  208] soldier      static_B_2019.12.16_13.40.04.csv@1740  reward=QoE=   58.67 eps=0.684 loss=1.9054
[ep  209] longdress    driving_B_2020.02.14_09.38.22.csv@1321  reward=QoE=   53.53 eps=0.683 loss=1.8668
[ep  210] loot         static_B_2020.02.27_18.39.27.csv@138   reward=QoE=   34.33 eps=0.681 loss=1.8059
[ep  211] redandblack  driving_B_2020.02.14_12.58.17.csv@424   reward=QoE= -327.28 eps=0.680 loss=1.9358
[ep  212] soldier      driving_B_2020.02.14_12.58.17.csv@664   reward=QoE= -114.61 eps=0.678 loss=2.0871
